[2026-04-27T05:25:47.852Z] GET https://claude-tracker.gsong.workers.dev/?token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:25:48.041Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js → 200 (106ms, 205399B)
[2026-04-27T05:25:48.160Z] GET https://claude-tracker.gsong.workers.dev/health → 200 (54ms, 38B)
[2026-04-27T05:25:48.216Z] GET https://claude-tracker.gsong.workers.dev/stats?days=14 → 401 (49ms, 24B)
[2026-04-27T05:25:48.216Z] GET https://claude-tracker.gsong.workers.dev/timeseries?days=14 → 401 (49ms, 24B)
[2026-04-27T05:25:48.216Z] GET https://claude-tracker.gsong.workers.dev/users?days=14 → 401 (52ms, 24B)
[2026-04-27T05:25:48.216Z] GET https://claude-tracker.gsong.workers.dev/teams?days=14 → 401 (52ms, 24B)
[2026-04-27T05:25:48.216Z] GET https://claude-tracker.gsong.workers.dev/sessions?limit=200&days=14 → 200 (57ms, 38997B)
[2026-04-27T05:26:33.074Z] GET https://claude-tracker.gsong.workers.dev/?token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (301ms, 13083B)
[2026-04-27T05:26:33.378Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js → 200 (?ms, 205399B)
[2026-04-27T05:26:33.383Z] GET https://claude-tracker.gsong.workers.dev/health → 200 (95ms, 38B)
[2026-04-27T05:26:33.479Z] GET https://claude-tracker.gsong.workers.dev/stats?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:26:33.479Z] GET https://claude-tracker.gsong.workers.dev/timeseries?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:26:33.479Z] GET https://claude-tracker.gsong.workers.dev/users?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (496ms, 274B)
[2026-04-27T05:26:33.479Z] GET https://claude-tracker.gsong.workers.dev/teams?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (496ms, 174B)
[2026-04-27T05:26:33.479Z] GET https://claude-tracker.gsong.workers.dev/sessions?limit=200&days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (290ms, 39303B)
[2026-04-27T05:27:24.632Z] GET https://claude-tracker.gsong.workers.dev/sessions?limit=200&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (52ms, 39303B)
[2026-04-27T05:28:04.842Z] GET https://claude-tracker.gsong.workers.dev/?token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (81ms, 13083B)
[2026-04-27T05:28:04.925Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js → 200 (?ms, 205399B)
[2026-04-27T05:28:04.926Z] GET https://claude-tracker.gsong.workers.dev/health → 200 (47ms, 38B)
[2026-04-27T05:28:04.974Z] GET https://claude-tracker.gsong.workers.dev/stats?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:28:04.974Z] GET https://claude-tracker.gsong.workers.dev/timeseries?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:28:04.974Z] GET https://claude-tracker.gsong.workers.dev/users?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:28:04.974Z] GET https://claude-tracker.gsong.workers.dev/teams?days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:28:04.974Z] GET https://claude-tracker.gsong.workers.dev/sessions?limit=200&days=14&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → pending (?ms, ?B)
[2026-04-27T05:28:09.080Z] GET https://claude-tracker.gsong.workers.dev/browse?user=gsong@aptner.com → pending (?ms, ?B)
[2026-04-27T05:28:09.215Z] GET https://claude-tracker.gsong.workers.dev/api/users?token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 200 (102ms, 2B)
[2026-04-27T05:28:09.318Z] GET https://claude-tracker.gsong.workers.dev/api/sessions?user=gsong%40aptner.com&limit=500&token=cb6ad02af0fbdd147ba80bd2e860d02cf438a9fbfb45b34d → 403 (161ms, 21B)
